422
255	20
305	3
305	25
355	69
336	79
278	115
341	15
234	402
269	106
278	18
335	122
287	7
322	391
377	23
300	8
338	7
381	29
266	59
311	204
377	143
347	239
304	173
335	39
335	7
337	5
378	228
365	84
266	116
277	411
274	8
323	169
267	16
278	203
284	25
272	99
358	230
255	70
285	48
293	106
347	223
338	223
326	37
305	412
349	79
347	106
383	25
313	406
338	225
382	241
295	221
336	393
379	84
377	415
276	127
352	79
374	34
310	79
375	119
335	147
304	97
373	219
276	8
382	137
347	411
270	138
352	88
346	96
333	219
371	100
290	40
327	72
340	186
342	385
275	13
384	93
290	63
378	242
352	8
277	57
347	79
340	418
378	191
260	421
356	106
300	7
294	131
293	106
279	161
284	122
356	225
264	153
318	80
271	137
383	407
375	229
300	7
356	51
384	408
125	14
305	79
345	144
276	42
352	131
327	79
261	106
366	2
288	220
346	8
345	151
334	385
375	196
361	389
267	131
346	385
378	14
378	85
349	10
337	34
287	138
333	219
380	65
313	123
305	16
288	143
250	22
123	193
278	99
276	50
355	86
266	122
287	2
278	11
377	22
309	148
379	52
345	83
276	218
335	407
378	219
355	101
263	32
337	391
267	163
272	81
286	51
352	8
280	57
255	14
299	40
330	182
311	32
375	45
351	90
337	7
275	48
318	15
374	7
346	137
334	229
298	64
290	25
264	45
274	114
328	7
347	409
309	398
379	15
341	7
348	245
380	149
333	79
266	128
336	79
384	26
342	16
124	402
347	111
314	146
356	107
333	185
347	8
315	122
378	405
314	84
337	4
337	7
334	79
376	237
326	227
299	41
293	179
251	207
393	189
279	29
250	106
352	51
296	67
355	222
378	26
336	91
286	99
342	93
285	93
342	388
290	111
256	81
384	80
347	7
352	243
268	8
310	79
383	40
380	52
382	393
340	11
280	80
351	93
308	405
356	420
290	166
319	16
296	7
332	106
319	100
288	41
338	2
124	106
305	225
275	11
256	27
348	175
307	194
293	34
81	7
256	68
292	23
325	22
342	6
336	231
347	1
345	136
347	391
299	176
338	7
330	19
290	80
266	15
381	211
384	30
288	417
294	79
306	134
279	31
346	197
384	114
325	214
336	121
310	22
336	4
309	9
258	27
342	32
305	127
260	209
265	7
256	81
266	17
374	158
316	191
367	31
290	419
331	37
358	136
277	66
264	193
338	85
313	224
311	244
300	79
377	113
345	219
124	122
347	56
325	15
280	59
309	410
274	95
347	19
81	101
299	54
356	24
338	216
344	51
314	100
306	227
339	24
347	95
287	7
304	395
305	220
305	80
290	194
374	385
123	231
289	79
323	103
336	23
314	141
309	123
384	106
379	99
274	123
270	19
342	11
290	19
288	227
355	93
298	215
341	87
334	110
271	20
296	127
294	71
313	46
288	30
300	216
379	398
313	145
298	27
347	107
281	83
346	205
341	79
333	217
81	202
305	10
255	93
337	110
381	18
346	247
289	84
349	188
310	136
375	201
338	206
305	79
356	7
275	51
273	92
305	7
289	74
346	79
379	15
279	249
255	7
305	7
352	79
286	228
352	104
310	155
349	56
81	154
355	11
259	7
81	138
314	16
356	221
279	81
255	99
334	79
81	399
357	6
275	179
272	7
266	2
270	102
379	79
347	16
304	6
283	222
335	53
21	126
300	19
323	131
264	177
326	7
341	225
356	157
347	162
342	385
297	79
326	108
324	236
308	190
307	122
314	394
278	7
379	11
309	239
356	131
260	31
349	45
342	131
380	128
335	11
275	404
348	53
332	6
347	7
382	20
375	52
338	15
274	389
290	225
340	80
376	83
351	174
279	20
275	27
258	29
300	111
348	93
354	81
307	403
309	232
335	204
293	400
343	195
318	196
346	133
381	44
39	24
344	391
375	106
317	7
266	139
279	396
282	229
374	26
341	106
310	29
301	227
351	10
355	14
295	36
384	162
302	392
348	137
270	8
321	64
273	178
269	73
299	391
382	120
346	8
266	19
298	51
256	102
287	136
273	220
344	116
260	96
322	51
344	203
329	15
309	28
274	11
342	79
298	79
370	219
347	7
384	84
277	96
306	180
377	23
343	7
349	183
309	93
290	14
298	5
289	25
310	2
298	183
337	422
298	221
351	44
305	223
309	7
378	93
314	25
264	53
349	101
285	80
382	213
341	19
363	171
380	199
301	55
341	53
357	7
324	220
379	222
300	57
79	222
260	79
315	104
383	401
289	7
300	184
311	16
341	165
310	76
345	405
334	79
286	235
377	106
304	79
332	81
252	7
284	191
123	36
298	198
356	15
377	166
300	25
305	10
283	10
346	23
335	56
299	123
289	52
309	111
356	80
335	184
359	79
302	159
355	416
274	7
300	32
276	118
324	35
272	27
308	409
382	57
315	110
280	57
324	192
372	113
264	121
315	385
124	130
300	120
267	120
355	25
286	26
310	57
286	7
291	390
300	18
262	99
305	418
371	393
290	40
250	421
293	21
340	181
341	187
294	150
324	110
347	89
285	208
331	7
315	56
298	219
334	60
355	111
371	104
303	194
344	79
352	79
321	49
270	8
383	227
307	226
378	393
353	22
312	132
315	202
309	420
335	102
353	106
358	163
344	242
291	408
258	79
338	391
322	79
305	19
341	225
351	13
350	8
383	140
265	229
341	99
299	85
320	58
381	57
339	29
305	79
257	5
290	395
329	10
298	9
310	161
267	221
289	78
383	167
273	180
250	16
294	79
279	5
378	98
273	105
345	14
301	42
355	226
355	136
288	41
296	393
298	413
278	82
270	79
378	56
278	195
321	388
362	123
304	234
310	26
293	99
256	8
258	109
349	127
294	21
319	11
285	391
297	248
356	79
377	80
323	81
288	8
304	7
326	27
310	38
382	110
262	246
340	219
293	10
349	233
314	7
364	172
279	210
347	385
266	45
310	18
298	8
300	140
379	93
379	136
297	222
315	229
374	34
371	5
281	23
303	212
293	32
335	411
327	403
337	114
301	20
314	36
275	96
346	95
287	7
264	403
300	168
347	79
272	80
275	27
369	2
314	111
336	110
347	5
280	404
337	14
260	241
258	7
276	8
329	43
347	117
345	183
301	61
356	393
355	135
344	414
380	238
336	415
81	143
299	47
305	17
314	237
355	8
281	34
355	136
298	14
384	387
383	229
293	62
347	25
294	117
21	170
335	160
305	7
335	79
294	112
309	206
347	53
320	17
275	7
256	6
295	12
313	33
277	79
308	223
258	5
310	51
356	99
376	7
270	79
123	29
272	81
309	15
358	35
313	7
270	80
337	8
286	45
81	105
337	215
278	58
304	12
356	156
271	79
368	120
384	28
345	119
342	397
321	19
340	237
342	79
336	41
278	106
292	394
253	11
320	127
260	9
276	142
342	79
256	122
318	84
301	24
383	200
382	386
339	75
342	94
332	157
347	79
254	85
271	222
348	152
255	179
377	222
297	6
377	155
376	62
355	79
297	93
308	129
327	240
289	93
337	16
377	77
296	219
339	80
272	18
272	22
382	7
125	10
336	79
356	123
260	12
273	164
271	80
298	85
334	22
301	6
348	51
264	8
324	124
318	7
260	223
272	134
355	81
360	79
314	183
337	99
325	230
298	79
346	56
305	146
350	17
